drug_name,num_prescriber,total_cost
ALIMTA,2,269558
BETAMETHASONE VALERATE,217,267547
DIOVAN HCT,68,265180
HUMATROPE,8,264457
INVOKAMET,40,261339
PALIPERIDONE ER,17,260809
RIZATRIPTAN,369,259451
SANDOSTATIN LAR DEPOT,4,258958
ICLUSIG,2,258617
OSENI,32,256740
VELCADE,2,255502
AMBIEN,42,254708
HALOPERIDOL DECANOATE 100,112,252792
ZAFIRLUKAST,161,252674
DIHYDROERGOTAMINE MESYLATE,5,252269
MYFORTIC,17,250927
METHIMAZOLE,685,249460
DOXERCALCIFEROL,21,249149
LEVETIRACETAM ER,138,244052
TAZTIA XT,424,243615
INDAPAMIDE,642,242270
BEPREVE,30,242039
NAFTIN,29,241918
CABERGOLINE,95,241835
VIVITROL,9,240406
BETOPTIC S,42,237307
MEGACE ES,16,237140
OLOPATADINE HCL,54,235021
SELEGILINE HCL,84,234349
COSOPT PF,66,234095
VIVELLE-DOT,76,233484
CEFEPIME HCL,66,233364
MEDROXYPROGESTERONE ACETATE,606,232177
APIDRA,39,230507
RAPAMUNE,11,226182
CLORAZEPATE DIPOTASSIUM,480,226086
KADIAN,13,225935
SILVER SULFADIAZINE,420,225412
DEMECLOCYCLINE HCL,37,224341
ORKAMBI,1,224163
FLUPHENAZINE HCL,459,224025
MOZOBIL,1,223898
PROZAC,28,223670
E.E.S. 200,11,222799
OXAPROZIN,93,222389
PEG 3350-ELECTROLYTE,348,218451
ANDRODERM,33,218404
BACITRACIN,113,217097
ZYKADIA,2,216784
LOPERAMIDE,612,215514
LUNESTA,40,215418
DESIPRAMINE HCL,139,214080
MEROPENEM,53,213938
ALOXI,6,213391
GAVILYTE-N,207,213315
JUBLIA,19,211788
TIMOPTIC OCUDOSE,28,211520
DUEXIS,10,211493
NESINA,25,210308
ISTALOL,39,209912
OMNITROPE,5,208571
KADCYLA,2,208221
PAZEO,19,207693
GENOTROPIN,5,207476
SULFASALAZINE DR,124,207263
UNIFINE PENTIPS,361,206008
AZASITE,47,205974
TYGACIL,8,205717
FINACEA,46,205702
SIMPONI ARIA,2,205419
XALATAN,73,204986
NYAMYC,246,204908
CYCLOSPORINE MODIFIED,58,204726
ALCOHOL PADS,190,204258
RISEDRONATE SODIUM DR,44,203159
ZYPREXA ZYDIS,13,201746
SINGULAIR,68,201244
HEPARIN SODIUM,123,199596
GABITRIL,18,195532
DEXTROAMPHETAMINE SULFATE,77,195300
CLINISOL,17,195247
FLUVOXAMINE MALEATE ER,35,194576
SURE COMFORT,368,193714
MIACALCIN,4,193295
IMIPRAMINE HCL,498,192384
OXANDROLONE,10,190409
AMBIEN CR,38,190296
CANCIDAS,3,189667
ITRACONAZOLE,22,188034
DILTIAZEM 12HR ER,131,187593
GLYCOPYRROLATE,196,187039
GLYBURIDE-METFORMIN HCL,431,186853
LEVEMIR FLEXPEN,23,186751
ANAGRELIDE HCL,78,186472
ZYFLO CR,4,185402
INTRALIPID,14,183808
SODIUM CHLORIDE,355,182982
EMSAM,9,182176
CEFPODOXIME PROXETIL,94,181713
MISOPROSTOL,144,179825
TESTIM,21,177342
ALVESCO,19,175356
CARBATROL,55,175267
ADDERALL XR,31,173947
LUCENTIS,1,173655
PENICILLIN V POTASSIUM,777,173013
TRIAZOLAM,239,170464
LAMIVUDINE HBV,28,170254
CAMBIA,10,170244
CARBIDOPA,11,169251
FLUOCINOLONE ACETONIDE OIL,50,169230
DESLORATADINE,167,167667
TRIMETHOPRIM,355,167601
NORVASC,79,167504
XANAX,34,165653
TRELSTAR,3,165641
NAPROXEN SODIUM,249,165016
HORIZANT,25,164868
AUTOSHIELD DUO PEN NEEDLE,122,164858
FOSINOPRIL SODIUM,677,164639
THIORIDAZINE HCL,202,163964
GAMMAPLEX,1,162912
SYLATRON,2,162299
PERFOROMIST,21,161419
NALTREXONE HCL,142,160719
NOVOFINE,162,160426
HYDROCODONE-IBUPROFEN,221,159064
MINOXIDIL,414,158466
TYVASO,1,155916
PICATO,8,155697
FASLODEX,6,155644
MEXILETINE HCL,74,154678
LOXAPINE,155,154149
ADEFOVIR DIPIVOXIL,13,153703
GAVILYTE-G,241,153616
ARMOUR THYROID,267,150374
SIMCOR,30,150256
SPS,99,149832
TRAVOPROST,41,149686
DANTROLENE SODIUM,78,149651
VALIUM,23,148513
MIRAPEX ER,14,148353
LESCOL XL,35,147148
ULTICARE,184,147018
LEVOXYL,136,145447
OXTELLAR XR,17,145235
ETODOLAC ER,58,144167
RIBAVIRIN,37,143985
LIDOCAINE HCL,405,142674
RIBASPHERE RIBAPAK,7,141834
BUTALBITAL COMPOUND-CODEINE,57,140922
DEPAKOTE SPRINKLE,17,140883
LEVOCARNITINE,77,140269
FELBATOL,4,139993
INVEGA TRINZA,1,139641
SULINDAC,331,139269
SIGNIFOR,1,138876
DIPENTUM,7,138794
NPLATE,1,138229
LANOXIN,69,137979
LEUKERAN,21,137933
IRINOTECAN HCL,2,137901
OXAZEPAM,140,137900
PROCHLORPERAZINE MALEATE,712,137564
VERAPAMIL ER PM,126,137185
SAIZEN,3,136742
LEVALBUTEROL HCL,49,134706
VECTIBIX,1,134677
DENAVIR,6,134642
EXFORGE HCT,35,134397
RAYOS,4,133864
KLOR-CON 8,239,130761
TRANYLCYPROMINE SULFATE,22,130477
ERYPED 400,6,129901
QUINAPRIL-HYDROCHLOROTHIAZIDE,190,129816
DICLOFENAC SODIUM ER,220,128617
NEOMYCIN-POLYMYXIN-HYDROCORT,213,128498
EQUETRO,17,127650
POTIGA,8,127329
LEUCOVORIN CALCIUM,93,126119
ZOCOR,26,125932
PINDOLOL,100,125808
QNASL,34,124083
PREPOPIK,43,122924
EPITOL,143,122874
PANCREAZE,12,122561
APTIVUS,7,121229
THIOLA,1,121098
PEGASYS,2,120853
COSENTYX PEN (2 PENS),2,120595
AXIRON,15,119893
KERYDIN,6,119891
FROVA,12,119384
CHOLESTYRAMINE LIGHT,87,119342
ZALEPLON,227,118688
TERBINAFINE HCL,519,118396
BUPHENYL,1,118018
RIFAMPIN,112,117992
DAPSONE,144,117468
ETHAMBUTOL HCL,79,116454
AZACITIDINE,1,116436
PIPERACILLIN-TAZOBACTAM,27,116103
APLENZIN,4,115794
KINERET,3,115438
LAMICTAL ODT,11,114196
ZOLOFT,29,113728
VERAPAMIL SR,156,113657
ORACEA,12,113032
TRIHEXYPHENIDYL HCL,431,113016
PULMICORT,11,112782
FAMCICLOVIR,111,112395
CYPROHEPTADINE HCL,170,110996
FUZEON,3,110902
ZOHYDRO ER,17,110006
VELETRI,1,108949
GELNIQUE,19,108556
OPIUM TINCTURE,15,108019
KIONEX,82,107588
PLAQUENIL,13,107531
VGO 40,22,106779
ENULOSE,183,106678
PENTAZOCINE-NALOXONE HCL,34,106391
SANCUSO,8,106007
NATPARA,1,105312
OXYTROL,14,105269
INTRON A,5,105142
FRAGMIN,5,104206
OLANZAPINE-FLUOXETINE HCL,23,103853
NITROGLYCERIN,30,103785
PROPYLTHIOURACIL,99,103731
BUTALB-CAFF-ACETAMINOPH-CODEIN,85,102599
ZOLEDRONIC ACID,11,102232
CARAC,3,101762
BUTORPHANOL TARTRATE,78,101657
NEVIRAPINE,49,101462
VGO 30,20,101357
PULMOZYME,2,101121
NEFAZODONE HCL,67,101076
NORCO,17,100952
EPOGEN,10,100897
TEKTURNA HCT,39,100281
DIFLUNISAL,54,100100
AMRIX,6,99427
INCRUSE ELLIPTA,12,99415
ERYPED 200,7,99310
PERPHENAZINE-AMITRIPTYLINE,83,99281
TEFLARO,4,99012
GAMMAGARD S-D,2,98236
ZUBSOLV,13,98166
BETIMOL,38,98110
BUTALBITAL-ASPIRIN-CAFFEINE,98,97835
PHENAZOPYRIDINE HCL,87,97731
ROXICODONE,6,97667
TIROSINT,42,96207
SUMATRIPTAN,23,95757
TOBRAMYCIN,169,95559
ESTRADIOL-NORETHINDRONE ACETAT,48,94769
SYNRIBO,1,94357
PRANDIN,7,93722
CARDIZEM CD,8,93696
NICOTROL NS,13,93493
CALCIPOTRIENE-BETAMETHASONE DP,7,92830
TACLONEX,4,92681
GAVILYTE-C,101,92064
ATOVAQUONE-PROGUANIL HCL,28,91597
STAXYN,7,91292
PIOGLITAZONE-GLIMEPIRIDE,17,90372
DETROL LA,28,90304
DEXEDRINE,4,90080
COZAAR,49,89884
TRICOR,36,89690
COMBIVIR,7,89609
CEFADROXIL,249,89566
NICOTROL,10,89512
MICARDIS,40,89325
VIRAMUNE XR,9,88119
LASTACAFT,26,87572
FARESTON,4,87504
FORTAMET,4,87487
SODIUM POLYSTYRENE SULFONATE,54,87458
IMITREX,9,87371
NAPHAZOLINE HCL,25,87145
NIASPAN,21,86648
NEOMYCIN-POLYMYXIN-HC,121,86208
PROBENECID,141,86140
ZOVIRAX,5,85957
THEO-24,49,85894
CEFPROZIL,70,85859
LEUKINE,2,85631
VERSACLOZ,3,85466
DANAZOL,20,84678
KRISTALOSE,13,84589
EASY TOUCH PEN NEEDLE,144,84494
EVOTAZ,4,84292
ZELAPAR,1,84267
MATZIM LA,68,83855
ZYCLARA,3,82973
TENORMIN,20,82077
CLOBETASOL EMOLLIENT,33,81836
ALOSETRON HCL,4,81468
FLUNISOLIDE,87,81439
NUTROPIN AQ NUSPIN,3,81120
ULTRAM,13,80991
DEPAKENE,6,80863
ENALAPRIL-HYDROCHLOROTHIAZIDE,349,79917
SSD,169,79879
FLUVASTATIN SODIUM,44,79814
REXULTI,6,79486
FEMARA,8,79399
ETHOSUXIMIDE,38,79361
PAXIL,25,79332
BELSOMRA,25,78345
NAMZARIC,18,78042
EPINASTINE HCL,47,77297
ENTOCORT EC,3,77219
QUININE SULFATE,29,76903
ARIMIDEX,10,76274
HALOG,2,73759
RYTHMOL SR,8,73709
REQUIP XL,5,72583
VGO 20,14,72035
NEORAL,12,72029
MESALAMINE,19,71977
ORPHENADRINE CITRATE,117,71894
AVAPRO,30,71881
NARATRIPTAN HCL,56,71663
INDERAL LA,7,71449
DIBENZYLINE,1,71209
NAFCILLIN SODIUM,6,70967
LODOSYN,3,70213
DONEPEZIL HCL ODT,85,70046
SALSALATE,24,69902
DEXTROSE IN WATER,48,69851
AMILORIDE HCL,106,69682
LEVOBUNOLOL HCL,127,69331
COSOPT,19,68833
CIMETIDINE,131,68750
SUMAVEL DOSEPRO,3,68258
ZOSYN,10,68196
PRED FORTE,10,67569
ANAFRANIL,2,67452
PLEGRIDY,1,66970
CLIMARA,31,66703
PREVALITE,46,66701
TRANDOLAPRIL,191,66613
VICODIN ES,27,66121
DIFLORASONE DIACETATE,8,65893
ISOSORBIDE MONONITRATE,303,65421
ADVICOR,14,65345
LOTREL,19,65171
HYSINGLA ER,9,65060
NORETHINDRONE ACETATE,59,65025
MICARDIS HCT,25,64848
MOVANTIK,16,64075
AXERT,7,63919
GENERLAC,184,63310
CYCLOSPORINE,13,63212
ERY-TAB,14,62906
CANDESARTAN-HYDROCHLOROTHIAZID,45,62779
ACAMPROSATE CALCIUM,26,62406
POLYMYXIN B SUL-TRIMETHOPRIM,152,61813
TERCONAZOLE,90,61805
QUINIDINE GLUCONATE,11,61590
MILRINONE LACTATE,3,61257
CLARITHROMYCIN ER,38,60937
DILAUDID,7,60835
OPANA,4,60831
FERRIPROX,1,60678
ERYTHROCIN STEARATE,9,60502
CYCLOSET,10,60089
MEPROBAMATE,21,59742
FENTANYL CITRATE,3,59433
MOEXIPRIL HCL,91,59136
RILUTEK,2,59116
METHYLPHENIDATE LA,23,58872
DEPEN,1,58796
RIBASPHERE,19,58678
MINIVELLE,31,58614
EASY COMFORT PEN NEEDLES,62,58181
METOPROLOL-HYDROCHLOROTHIAZIDE,82,57567
EPIVIR,20,57351
LORZONE,5,57339
ARICEPT,9,57253
METHSCOPOLAMINE BROMIDE,20,56402
HYDROCORTISONE BUTYRATE,23,56220
DYSPORT,1,56062
CHLORZOXAZONE,97,55840
ASCOMP WITH CODEINE,30,55675
ZOLMITRIPTAN,28,55430
JADENU,1,54820
MEPRON,3,54754
ARCAPTA NEOHALER,11,54476
ESTAZOLAM,63,54050
NICARDIPINE HCL,16,53389
LEVORPHANOL TARTRATE,5,53364
BETAXOLOL HCL,42,53301
PEG-3350 AND ELECTROLYTES,125,53125
FORTICAL,44,53101
PROBENECID-COLCHICINE,77,52572
HYZAAR,27,52488
VICODIN,35,52328
CYCLOPHOSPHAMIDE,7,52151
ZOMIG,7,51657
FLEBOGAMMA DIF,2,51290
SORIATANE,2,51057
ERBITUX,1,51055
ACEBUTOLOL HCL,158,50774
BUTALB-ACETAMINOPH-CAFF-CODEIN,11,50744
RIDAURA,4,50413
UROXATRAL,8,50004
ERYTHROCIN LACTOBIONATE,2,49871
STIOLTO RESPIMAT,9,49683
VERAMYST,19,49530
TREXIMET,4,49449
VICODIN HP,16,49377
GENGRAF,12,49161
ALCLOMETASONE DIPROPIONATE,27,48630
MONUROL,14,48441
HYDROCORTISONE-ACETIC ACID,20,48306
LINEZOLID,5,48024
IMIPENEM-CILASTATIN SODIUM,20,47805
HALOPERIDOL LACTATE,70,47521
ALPRAZOLAM ER,89,47098
COMBIPATCH,20,46656
MYCAMINE,2,46315
CLONIDINE HCL ER,8,46289
SODIUM BICARBONATE,38,45931
INDOMETHACIN,157,45471
VALTREX,7,44749
PARNATE,2,44435
BUPAP,4,44260
NITRO-DUR,19,44121
DYRENIUM,15,44038
ZYLET,9,43777
PEN NEEDLES,70,43191
MIGERGOT,2,43185
PEN NEEDLE,141,43023
THEOPHYLLINE,55,42461
RETIN-A,19,41692
IMIPRAMINE PAMOATE,11,41659
COREG,16,41607
SKELAXIN,5,41588
AMPICILLIN SODIUM,14,41467
CLINDAMYCIN-BENZOYL PEROXIDE,8,41453
HAVRIX,10,41398
PAXIL CR,18,41069
CROMOLYN SODIUM,76,40939
WELLBUTRIN SR,12,40926
KLONOPIN,13,40821
CEFAZOLIN SODIUM,35,40781
PHENYTEK,40,40738
NUTROPIN AQ,2,40490
CONCERTA,8,40301
AZTREONAM,3,39730
LACRISERT,5,39527
DIPHENHYDRAMINE HCL,42,39291
DISULFIRAM,24,39221
LEVITRA,8,39169
ALTACE,14,38855
ZYFLO,2,38669
DISOPYRAMIDE PHOSPHATE,37,38135
ISRADIPINE,25,38015
PREDNISOLONE SODIUM PHOSPHATE,14,37969
ALTOPREV,6,37967
PRAMIPEXOLE ER,6,37754
DIDANOSINE,13,37664
SOTALOL AF,107,37633
COMETRIQ,1,37498
STALEVO 150,4,36829
FUSILEV,1,36710
TETRACYCLINE HCL,8,36277
ZESTRIL,10,36062
METHYLERGONOVINE MALEATE,1,35909
TOBRAMYCIN SULFATE,15,35896
SINGLE USE SWAB,342,35867
BONIVA,8,35833
ERYTHROMYCIN-BENZOYL PEROXIDE,14,35805
PRILOSEC,5,35631
"PANCRELIPASE 5000",18,35510
ARESTIN,1,35340
CYTOMEL,33,35252
SINEMET 25-100,7,35068
GENVOYA,1,34890
ATROPINE SULFATE,58,34869
PHOSLYRA,11,34851
ACETYLCYSTEINE,34,34769
RIFABUTIN,6,34757
RITALIN LA,7,34710
CHLORDIAZEPOXIDE-AMITRIPTYLINE,30,34684
LAMOTRIGINE ODT,4,34612
PAMELOR,3,34396
VITAMIN D2,91,33962
PRANDIMET,2,33923
COMFORT EZ,40,33897
ORAP,16,33632
DEPO-TESTOSTERONE,41,33501
AFREZZA,4,33253
TYPHIM VI,8,33056
HYQVIA,1,33031
CARDIZEM LA,18,32963
AMILORIDE-HYDROCHLOROTHIAZIDE,112,32765
DEXAMETHASONE SODIUM PHOSPHATE,67,32682
METHYLPHENIDATE HCL CD,12,32610
EVOXAC,6,32501
TERBUTALINE SULFATE,17,32474
MEPERIDINE HCL,37,32453
SULFADIAZINE,5,32402
NOVOTWIST,34,32329
OCTREOTIDE ACETATE,8,32286
RIOMET,8,32039
DIVIGEL,12,32009
COMTAN,5,31958
ACTOS,6,31661
KLOR-CON,15,31538
LIVIXIL PAK,1,31431
ZORVOLEX,5,31226
LIDOCAINE HCL VISCOUS,157,31096
CAPTOPRIL-HYDROCHLOROTHIAZIDE,26,31038
FLUOCINONIDE-E,13,30810
INDOCIN,3,30762
STALEVO 125,4,30750
GUANFACINE HCL,136,30623
COLISTIMETHATE,4,30613
ZYMAXID,4,30598
FULYZAQ,3,30548
TARKA,16,30363
REQUIP,4,30236
ATACAND,20,30174
SOMA,3,30138
SULFACETAMIDE SODIUM,48,30008
OSMOPREP,10,29782
CATAPRES-TTS 3,5,29773
NALBUPHINE HCL,6,29762
GUANFACINE HCL ER,11,29735
METHAMPHETAMINE HCL,2,29664
KAZANO,5,29237
FLURAZEPAM HCL,64,29173
CODEINE SULFATE,23,29127
BIMATOPROST,3,28966
NIZATIDINE,78,28694
VASOTEC,3,28276
CORDRAN,5,28191
MAXALT MLT,6,28178
PEXEVA,5,27729
PHENELZINE SULFATE,25,27409
TRILIPIX,8,27271
MAXALT,4,27268
INTERMEZZO,6,27128
LITHOBID,6,27048
CEFOXITIN,4,26683
CADUET,7,26540
CLARAVIS,2,26478
ACTIGALL,3,26455
MENEST,35,26386
FLURBIPROFEN,37,26322
TOPIRAMATE ER,4,26290
STAVUDINE,18,26236
TWINRIX,6,26006
FIORINAL WITH CODEINE #3,3,25926
FLUOXETINE DR,13,25921
PATANASE,7,25410
AVALIDE,9,25403
AROMASIN,3,25362
ADDERALL,4,25159
AFEDITAB CR,53,25088
VIOKACE,2,25042
PACERONE,27,25013
ASTEPRO,11,24955
LIPOFEN,10,24880
FIORICET,5,24732
CATAPRES-TTS 2,6,24651
GRANISETRON HCL,8,24461
REMERON,11,24354
EASY TOUCH,68,24325
AMPHOTERICIN B,4,24312
TRUEPLUS INSULIN SYRINGE,72,24243
SOLODYN,2,24184
FLAVOXATE HCL,26,24169
DESVENLAFAXINE ER,10,24127
GLUCOPHAGE,18,24065
ABELCET,1,23932
FEMRING,3,23890
OXISTAT,4,23878
SANDIMMUNE,3,23596
ZETONNA,8,23501
CLICKFINE,68,23462
ZOFRAN ODT,1,23439
AMIKACIN SULFATE,16,23428
MONOJECT INSULIN SYRINGE,40,23234
ZIRGAN,5,23166
SUPRAX,7,23151
NITROLINGUAL,5,23088
MIMVEY,14,22999
ZIPSOR,3,22958
FOCALIN XR,5,22951
ACTIVELLA,8,22852
ZIAGEN,3,22766
DEXMETHYLPHENIDATE HCL,14,22515
REGRANEX,2,22428
RITALIN,12,22328
DIPYRIDAMOLE,72,22323
SELENIUM SULFIDE,65,22270
ERYTHROMYCIN ETHYLSUCCINATE,4,22118
ZIDOVUDINE,33,22097
WELLBUTRIN,5,21951
VECTICAL,10,21915
GLYXAMBI,3,21910
GLUCOPHAGE XR,15,21758
PROMETHEGAN,9,21745
MIRAPEX,7,21680
ELIGARD,2,21666
NAPRELAN,2,21580
MOXEZA,6,21500
DEXMETHYLPHENIDATE HCL ER,6,21389
ENTRESTO,3,21182
AMPICILLIN-SULBACTAM,11,21055
SINEMET CR,7,20847
GEMCITABINE HCL,2,20789
CELEXA,9,20621
FLURBIPROFEN SODIUM,24,20554
LORAZEPAM INTENSOL,30,20482
CYCLOSERINE,1,20343
CRIXIVAN,4,20307
CLIMARA PRO,9,20210
ACETIC ACID,52,19991
OMNARIS,8,19957
FLUTAMIDE,12,19847
PROCHLORPERAZINE EDISYLATE,1,19811
JINTELI,18,19628
PROCARDIA XL,9,19608
CEFACLOR,17,19553
ULTRACET,7,19488
METHOTREXATE SODIUM,51,19432
CORLANOR,3,19186
INNOPRAN XL,3,19183
FOSINOPRIL-HYDROCHLOROTHIAZIDE,33,19052
STARLIX,6,19052
EDLUAR,4,19027
ISORDIL,1,18962
IVERMECTIN,28,18853
ARTHROTEC 50,4,18686
UROCIT-K,4,18472
DEPO-PROVERA,3,18456
BINOSTO,6,18328
PROAIR RESPICLICK,17,18169
CHLORDIAZEPOXIDE HCL,122,18138
AMOXICILLIN-CLAVULANATE POT ER,12,17855
DEXTROSE 5%-0.45% NACL,44,17694
TINIDAZOLE,6,17605
ARTHROTEC 75,3,17535
VIRAMUNE,2,17467
MOBIC,4,17408
PRED MILD,3,17285
ELIPHOS,4,17148
NUVARING,11,17032
NIMODIPINE,1,17028
ZANAFLEX,4,16976
DICLOXACILLIN SODIUM,30,16810
DAYTRANA,5,16494
APRACLONIDINE HCL,8,16474
PRUDOXIN,3,16422
DOXYCYCLINE IR-DR,2,16374
ZANTAC,5,16275
SPORANOX,2,16207
AMPICILLIN TRIHYDRATE,123,16199
MONOJECT INSULIN SAFETY SYRNG,22,16126
SAVAYSA,3,16106
AMINOCAPROIC ACID,3,15998
TRIFLURIDINE,8,15969
TOFRANIL,1,15904
CORGARD,7,15775
CEFEPIME,4,15731
ESTRADIOL VALERATE,5,15678
CALAN SR,5,15664
VANCOMYCIN,10,15574
CLARINEX,6,15567
SYMBYAX,3,15564
PRENATAL PLUS,58,15546
NEOMYCIN SULFATE,49,15448
FLOMAX,5,15447
PREVNAR 13,4,15406
TELMISARTAN-AMLODIPINE,9,15356
OXACILLIN SODIUM,3,15296
PYRIDOSTIGMINE BROMIDE ER,1,15255
DEMEROL,6,15220
CARTEOLOL HCL,26,15103
MS CONTIN,3,15095
GRISEOFULVIN,4,15075
DEPO-ESTRADIOL,5,14941
PROZAC WEEKLY,4,14929
METHYLDOPA,60,14845
EVZIO,2,14746
UNITHROID,18,14744
GLYSET,5,14578
ULTRA COMFORT,47,14541
REPATHA SURECLICK,1,14535
URSO FORTE,3,14451
EASY COMFORT INSULIN SYRINGE,17,14413
SULAR,3,14302
TAZORAC,2,14288
CEFTAZIDIME,10,14180
AMARYL,6,14153
EURAX,2,14124
DDAVP,2,14035
ZOLADEX,1,13976
INTUNIV,3,13965
STALEVO 100,2,13898
BACITRACIN-POLYMYXIN,29,13880
ESTROPIPATE,56,13842
ARAVA,1,13732
FOSAMAX PLUS D,8,13724
DUAVEE,5,13718
OXALIPLATIN,1,13529
METHOXSALEN,1,13518
BUTALBITAL-ACETAMINOPHEN,13,13488
TRIMETHOBENZAMIDE HCL,6,13294
ALINIA,1,13198
SURMONTIL,2,13102
ESOMEPRAZOLE STRONTIUM,2,13061
ADAPALENE,5,12918
MITOMYCIN,1,12917
BETAPACE AF,2,12886
SYMLINPEN 60,2,12857
XULANE,9,12843
ABILIFY DISCMELT,1,12835
ZONTIVITY,3,12767
MAGELLAN INSULIN SAFETY SYRNG,6,12737
PHOSPHA 250 NEUTRAL,19,12677
RENACIDIN,10,12672
BRISDELLE,6,12567
RYTHMOL,3,12483
XENICAL,2,12442
ANADROL-50,1,12300
XIGDUO XR,2,12300
CASODEX,2,12224
PRINIVIL,14,12218
OXYCODONE HCL-ASPIRIN,11,12132
AKYNZEO,1,12109
CORTISPORIN,2,12087
HYOSCYAMINE SULFATE,18,11954
IMURAN,2,11772
PRAVACHOL,6,11746
AMOXAPINE,18,11705
PREVIDENT,41,11679
GLYBURIDE MICRONIZED,63,11678
EASY-TOUCH INSULIN SYRINGE,31,11647
ORTHO TRI-CYCLEN LO,7,11642
WATER,24,11465
UNIFINE PENTIPS PLUS,25,11443
ZIANA,1,11401
NIFEDIPINE,14,11310
TOFRANIL-PM,1,11158
ULTRAM ER,3,11150
ANTARA,2,11132
PROTRIPTYLINE HCL,6,11124
PROGLYCEM,1,11115
HECTOROL,2,10986
SOLU-MEDROL,17,10981
HUMALOG KWIKPEN U-200,1,10974
NITRO-BID,11,10911
DIAMOX SEQUELS,2,10843
TOBRADEX ST,4,10839
SEVELAMER CARBONATE,2,10835
AZACTAM-ISO-OSMOTIC DEXTROSE,1,10763
TRAVASOL,5,10653
FOLIC ACID,100,10637
CONSTULOSE,19,10607
RIMSO-50,1,10392
FEMHRT,5,10365
BECONASE AQ,4,10337
ALBENZA,1,10302
ALPRAZOLAM XR,15,10302
AZELEX,2,10206
DILANTIN-125,6,10057
BICILLIN L-A,6,10049
METHENAMINE MANDELATE,9,9988
LITE TOUCH,12,9971
TRILYTE WITH FLAVOR PACKETS,26,9846
ROCALTROL,9,9815
FLAREX,5,9776
LASIX,16,9726
BETAPACE,1,9686
ATACAND HCT,6,9672
FOSAMAX,7,9544
CILOXAN,3,9507
ELESTRIN,3,9452
CONZIP,1,9393
PAREGORIC,2,9392
PROMETHAZINE VC,9,9267
DOBUTAMINE HCL,4,9248
TRANEXAMIC ACID,5,9241
PERINDOPRIL ERBUMINE,21,9234
NEOMYCIN-POLYMYXIN B,8,9187
EMCYT,1,9122
FML FORTE,5,9099
OTREXUP,1,9087
CYCLOPENTOLATE HCL,15,9057
MARPLAN,2,9043
ZEMPLAR,1,9016
ZOLMITRIPTAN ODT,6,8861
CARBOPLATIN,8,8737
DAYPRO,3,8706
LESCOL,3,8697
PACLITAXEL,4,8575
JUNEL FE,31,8573
ACCUPRIL,7,8569
FML S.O.P.,4,8564
TREZIX,1,8525
PFIZERPEN,3,8476
TRI-SPRINTEC,46,8475
KENALOG-40,26,8453
PREDNISOLONE,36,8428
LIORESAL INTRATHECAL,1,8358
CELONTIN,4,8316
NORPACE CR,2,8243
MOEXIPRIL-HYDROCHLOROTHIAZIDE,14,8152
RHINOCORT AQUA,4,8131
NORTREL,31,8056
TIAZAC,6,8049
BUNAVAIL,2,8048
CHLOROTHIAZIDE,20,8030
INCONTROL PEN NEEDLE,20,8018
APRI,32,7885
SPRINTEC,47,7867
GIANVI,12,7845
MENOSTAR,4,7842
XOPENEX,2,7806
MEDROL,9,7581
ZARONTIN,2,7547
PROCTOFOAM-HC,4,7519
AZACTAM,1,7500
GALANTAMINE HYDROBROMIDE,2,7484
NIACOR,22,7460
CATAPRES-TTS 1,3,7415
STALEVO 75,1,7404
MIMVEY LO,6,7385
POLYMYXIN B SULFATE,6,7334
NECON,27,7304
ZITHROMAX,1,7288
METHYLPREDNISOLONE SOD SUCC,6,7259
SF 5000 PLUS,52,7244
STRIVERDI RESPIMAT,3,7240
GLEOSTINE,2,7224
PROSCAR,4,7196
AMCINONIDE,2,7189
CLINIMIX E,1,7179
ELIXOPHYLLIN,5,7151
EVAMIST,3,7112
CYANOCOBALAMIN INJECTION,20,7054
GENTAK,13,7049
GRISEOFULVIN ULTRAMICROSIZE,1,7007
MAGELLAN INSULIN SYRINGE,4,6953
MACRODANTIN,2,6751
NALFON,2,6751
FORFIVO XL,2,6729
ALPRAZOLAM INTENSOL,2,6627
DEFEROXAMINE MESYLATE,2,6608
TESTOSTERONE ENANTHATE,6,6585
CHORIONIC GONADOTROPIN,1,6578
DYAZIDE,10,6483
BACTROBAN,1,6433
CLARINEX-D 12 HOUR,2,6363
TABLOID,1,6358
ALPRAZOLAM ODT,4,6353
EPANED,1,6253
DETROL,2,6244
LORTAB,1,6209
NORPRAMIN,2,6209
CARDURA,4,6159
RESTORIL,1,6159
CIPRO,3,6110
LANSOPRAZOL-AMOXICIL-CLARITHRO,1,6107
CIPRO HC,2,6099
AUVI-Q,1,6068
LOW-OGESTREL,23,6047
FENOPROFEN CALCIUM,3,5984
STALEVO 200,1,5961
TIMOPTIC-XE,2,5914
ALORA,7,5899
ERGOLOID MESYLATES,1,5891
NALOXONE HCL,2,5891
XARTEMIS XR,2,5860
SURE COMFORT ALCOHOL,21,5810
NARDIL,2,5684
NEXIUM I.V.,1,5652
ACZONE,1,5638
TREXALL,4,5629
MAPROTILINE HCL,6,5592
MINASTRIN 24 FE,4,5579
ACTOPLUS MET,1,5546
GILDESS FE,25,5534
MYOBLOC,1,5441
LORYNA,8,5378
PREDNICARBATE,2,5376
EMBEDA,1,5357
FIORINAL,1,5311
CETIRIZINE HCL,16,5293
PROPRANOLOL-HYDROCHLOROTHIAZID,8,5121
ENJUVIA,4,5117
CORTEF,4,5103
CARNITOR,1,5084
HECORIA,1,5057
OCELLA,7,4970
